t,s20-mean-lb,s20-ep-lb,s20-mean-ub,s20-ep-ub,s20-opt,s40-mean-lb,s40-ep-lb,s40-mean-ub,s40-ep-ub,s40-opt,s60-mean-lb,s60-ep-lb,s60-mean-ub,s60-ep-ub,s60-opt,s80-mean-lb,s80-ep-lb,s80-mean-ub,s80-ep-ub,s80-opt,s100-mean-lb,s100-ep-lb,s100-mean-ub,s100-ep-ub,s100-opt,lb-gap20,ub-gap20,lb-gap40,ub-gap40,lb-gap60,ub-gap60,lb-gap80,ub-gap80,lb-gap100,ub-gap100
50,1912.27,27.4003,1928.25,11.5104,54.8854,1912.85,13.2639,1927.05,9.48075,36.943,1910.65,12.3684,1923.93,9.23571,34.8877,1913.15,9.77409,1921.33,9.01966,26.968,1913.8,7.18524,1924.85,8.4303,26.667,1.432867744,0.596935045,0.693410356,0.491982564,0.647339911,0.480043972,0.510889894,0.469448767,0.37544362,0.43797179
50,1955.8,20.0755,1976.7,6.88295,47.8573,1952.28,13.0121,1973.34,5.9772,40.05,1953.87,9.10104,1963.93,5.48916,24.6471,1956.89,9.2035,1961.91,6.07932,20.308,1957.5,9.10372,1963.66,5.44815,20.7176,1.026459761,0.348204078,0.666507878,0.302897625,0.465795575,0.27949876,0.470312588,0.309867425,0.46506871,0.277448744
50,1942.66,20.8605,1966.43,11.0198,55.6459,1947.25,19.423,1959.67,12.495,44.3372,1947,10.9961,1960.36,11.0479,35.4015,1946.88,9.79421,1961.07,11.8816,35.8673,1945.82,11.1382,1955.04,12.9604,33.3181,1.073811166,0.560396251,0.997457954,0.637607352,0.564771443,0.563564855,0.503072095,0.605873324,0.57241677,0.662922498
50,1972.66,6.88036,1998.71,10.7845,43.7138,1973.95,6.60939,1992.86,11.8537,37.3731,1974.42,6.3256,1978.8,11.9519,22.661,1973.82,5.63113,1972.5,11.0404,16.6715,1973.26,3.82225,1972.5,11.0404,14.8626,0.348785903,0.539573025,0.334830669,0.594808466,0.32037763,0.603997372,0.285290959,0.559716096,0.1937023,0.559716096
50,1959.26,19.9754,1966.97,6.38283,34.0602,1960.91,13.5412,1959.66,7.09325,20.6345,1956.81,13.141,1961.64,4.70188,22.6695,1958.66,14.1289,1959.66,7.09325,22.2243,1957.44,9.64398,1957.83,6.88935,16.9244,1.019537989,0.324500628,0.690556935,0.3619633,0.671552169,0.239691279,0.721355416,0.3619633,0.492683301,0.351887038
50,1928.96,14.7952,1941.88,8.43896,36.1609,1929.93,9.59055,1938.17,9.21773,27.0514,1928.38,8.35159,1935.14,8.53094,23.6425,1926.1,5.98978,1934.36,8.64034,22.8872,1924.66,10.5582,1932.81,10.2704,28.984,0.767003981,0.434576802,0.496937713,0.475589345,0.433088395,0.440843557,0.3109797,0.446676937,0.548574813,0.531371423
50,1930.81,19.1418,1951.98,9.25806,49.5781,1942.74,15.4475,1943.87,8.39991,24.9779,1938.44,11.8099,1941.61,8.89622,23.8719,1938.17,10.0677,1946.42,7.84544,26.1556,1940.56,7.54033,1937.78,10.1869,17.7272,0.991387034,0.47429072,0.795139854,0.432123033,0.609247642,0.458187793,0.519443599,0.403070252,0.388564641,0.525699512
75,2815.72,16.7996,2865.93,8.47282,75.4855,2825.78,12.1944,2860.58,9.36527,56.3648,2828.66,9.77938,2851.01,8.66198,40.7945,2834.41,12.3622,2852.04,8.71588,38.7087,2835.48,9.9816,2850.48,8.28529,33.2593,0.596636029,0.295639461,0.431541026,0.327390599,0.345724831,0.303821453,0.436147205,0.305601604,0.352025054,0.290662976
75,2810.57,14.5868,2853.45,7.9061,65.3735,2822.36,13.8555,2834.27,10.2141,35.9737,2820.27,8.40603,2831.71,8.0429,27.8944,2819.54,8.06445,2831.6,6.76569,26.8817,2815.36,10.4515,2829.44,9.78595,34.3119,0.518997926,0.277071615,0.490918947,0.36037851,0.298057633,0.284029791,0.28602006,0.238935231,0.371231388,0.345861725
75,2853.97,24.274,2884.02,6.84242,61.1612,2865.41,17.3301,2874.2,6.88007,33.0046,2859.27,18.2283,2872.16,7.34378,38.4561,2855.35,18.4854,2868.15,7.7532,39.0359,2859.87,13.6861,2868.53,6.92956,29.2745,0.850534519,0.237252862,0.604803501,0.239373391,0.637515869,0.255688402,0.647395241,0.27032059,0.478556718,0.241571816
75,2785.27,18.8556,2825.92,7.80699,67.3158,2802.29,15.5124,2814.94,8.71456,36.8752,2801.04,8.45534,2805.58,10.4884,23.4837,2795.36,12.7066,2805.88,9.52292,32.7437,2791.26,13.2565,2804.82,10.4395,37.2543,0.676975661,0.276263659,0.553561551,0.309582442,0.301864308,0.373840703,0.454560414,0.339391563,0.474928885,0.372198572
75,2782.07,23.0351,2809.04,5.71803,55.7234,2775.84,18.6196,2789,7.01537,38.8003,2774.96,15.5145,2788.9,6.94148,36.3973,2778.82,12.5784,2786.76,6.34018,26.8518,2778.61,8.80692,2782.26,6.62767,19.0906,0.827984199,0.203558155,0.670773532,0.25153711,0.55908914,0.248896698,0.452652565,0.227510801,0.316954161,0.238211742
75,2743.45,23.078,2784.9,10.0303,74.5516,2747.7,10.1955,2781.43,10.5841,54.508,2748.42,12.6124,2773.28,9.64383,47.1117,2751.44,9.40252,2773.46,8.29902,39.7209,2752.89,5.54309,2770.43,8.49979,31.5808,0.841203594,0.360167331,0.371055792,0.380527283,0.458896384,0.347740942,0.341730875,0.299229843,0.201355303,0.306803998
75,2793.8,20.5053,2840.89,7.26015,74.8483,2806.87,20.112,2832.39,11.4863,57.1247,2815.91,18.53,2831,11.4177,45.0395,2821.27,14.5653,2826.98,9.57987,29.8604,2820.9,12.755,2826.75,9.44104,28.0473,0.733957334,0.255558997,0.716527662,0.405533842,0.6580466,0.403309785,0.516267497,0.338872932,0.452160658,0.33398921
75,2851.56,20.153,2905.37,10.8288,84.7879,2868.36,12.0104,2901.72,9.06028,54.4293,2869.35,15.6837,2896.76,9.49009,52.5866,2872.61,10.8755,2892.98,10.8465,42.0905,2872.92,8.16552,2886.91,11.6681,33.8196,0.706735962,0.372716728,0.418720105,0.312238259,0.546594176,0.327610503,0.378592987,0.374924818,0.284223717,0.404172627
